//姓と名の間には、スペース(全角は不可)かタブで区切ってください
//行の先頭にスペース、タブを入れないで下さい

//ポルトガル
//	名		姓
Affonzo         Lansaro
Carlos          Almeida
Gille           Escoro
Roberto         Costa
Gonzo           Santiago
Rodrigo         Sintora
Diego           Celan
Tristan         Seillo
Gaspar          Valdire
Anton           Fuegundo
Albello         Ipanima
Mauro           Paivao
Fernao          Desao
Artur           Lima
Andre           Alvares
Jamil           Ojeda

//イスパニア
//	名		姓
Martin          Sangre
Oscar           Madrigal
Hector          Flores
Salvador        Sandoval
Antonio         Feliz
Miguel          Falco
Juan            Velaquez
Pedro           Lastima
Luis            La Bamba
Hernan          El Toro
Cesaro          Perez
Fernando        Gutierez
Vicente         Caliente
Servando        Pulgas
Inigo           Solis
Garcia          Pinata

//イスラム
//	名		姓
Muhammad        Ashah
Ibun            Muldid
Maricar         Ishak
Nadir           Alpoh
Sharif          Timur
Omar            Pasha
Mustafa         Pilaf
Ali             Ishmahl
Umar            Souda
Abu             Begin
Anwar           Couscous
Miran           Baba
Jafar           Kouri
Karim           Shaluk
Khalil          Girr
Sadam           Hussein

//イギリス
//	名		姓
Oliver          Hunter
Joseph          Adler
Thomas          Macaully
William         Thatcher
Daniel          Spencer
Henry           Taylor
David           Wilson
George          Darling
Andrew          Keller
Peter           Hoffman
Charles         Ryan
Michael         Burke
Richard         Brown
Robert          Butler
Raymond         Gratt
Samuel          Law

//イタリア
//	名		姓
Antonio         Balboa
Carmine         Silvano
Federico        Gallini
Ottavio         Ruccia
Paolo           Scianna
Guiseppe        Baldacci
Giovanni        La Scala
Adriano         Penne
Nicolo          Bologna
Umberto         Lasagna
Alessio         Marsala
Mateo           Ronzoni
Fabio           Cognola
Lucio           Tosca
Alonzo          Pinacci
Fredo           Corleone

//オランダ
//	名		姓
Albert          Koipe
Frans           Malthus
Jan             Stouten
Jacob           Amster
Karl            Hautman
Dean            Leibeck
Stephen         Dylan
Klinger         Houten
Willem          Van Dyke
Edward          Koenig
Hubert          Haven
Faas            de Klerk
Hannes          Schpeks
Johan           Voygt
Veit            Saxton
Boye            Goethel

